TriggerListKind,TriggerIndex,TriggerId,TriggerName,Enabled,TriggerBoxId,TriggerBoxName,TriggerLabelId,TriggerLabelName,UseTriggerLabelPosition,Keyword,ExactMatch,UseFfxivLogReference,UsePrerequisite,PrerequisiteTriggerId,EnableStatusRemainingAppend,AllowDuplicateStatusRemainingDisplay,StatusRemainingJob,StatusRemainingStatusName,BattleLogKeyword,InternalLogKeyword,InternalLogKeywords,DisplayTextMode,DisplayText,EnableVoiceVox,VoiceVoxEndpoint,VoiceVoxSpeakerId,IsWebImage,ImagePath,PositionX,PositionY,WaitSeconds,ImageSize,UseOriginalImageSize,ImageWidth,ImageHeight,UsePercentScale,ScalePercent,TextSize,TextFontDesign,EnableTextPixelSnap,EnableTextSharpRendering,TextFontFamilyName,CustomTextFontPath,TextShadowOffsetX,TextShadowOffsetY,TextShadowColorR,TextShadowColorG,TextShadowColorB,TextShadowColorA,TextColorR,TextColorG,TextColorB,TextColorA,EnableTextOutline,TextOutlineThickness,TextOutlineColorR,TextOutlineColorG,TextOutlineColorB,TextOutlineColorA,EnableTextFadeIn,TextFadeInSeconds,DisplaySeconds
ffxivlog,1,F00017,真ファイガ＜散開> / 偽ブリザガ,Enabled,BOX003,絶妖星乱舞,Lab003,なぞなぞマジック ファイガ / ブリザガ,TRUE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,なぞなぞマジック,vfx/lockon/eff/m0462trg_c02c.avfx_@_vfx/lockon/eff/m0462trg_a0c.avfx_@_vfx/lockon/eff/m0462trg_c03c.avfx,vfx/lockon/eff/m0462trg_c02c.avfx_@_vfx/lockon/eff/m0462trg_a0c.avfx_@_vfx/lockon/eff/m0462trg_c03c.avfx,TRUE,踏んで散開,FALSE,http://127.0.0.1:50021,3,FALSE,,2012,1117,0,300,FALSE,300,300,FALSE,100,46,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,0.9315069,1,0,1,TRUE,2,0,0,0,1,FALSE,0.15,4
ffxivlog,2,F00018,真ファイガ＜頭割り> / 偽ブリザガ,Enabled,BOX003,絶妖星乱舞,Lab003,なぞなぞマジック ファイガ / ブリザガ,TRUE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,なぞなぞマジック,vfx/lockon/eff/m0462trg_c02c.avfx_@_vfx/lockon/eff/m0462trg_b0c.avfx_@_vfx/lockon/eff/m0462trg_c03c.avfx,vfx/lockon/eff/m0462trg_c02c.avfx_@_vfx/lockon/eff/m0462trg_b0c.avfx_@_vfx/lockon/eff/m0462trg_c03c.avfx,TRUE,踏んで頭割り,FALSE,http://127.0.0.1:50021,3,FALSE,,2012,1117,0,300,FALSE,300,300,FALSE,100,46,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,0.9315069,1,0,1,TRUE,2,0,0,0,1,FALSE,0.15,4
ffxivlog,3,F00019,偽ファイガ＜散開> / 偽ブリザガ,Enabled,BOX003,絶妖星乱舞,Lab003,なぞなぞマジック ファイガ / ブリザガ,TRUE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,なぞなぞマジック,vfx/lockon/eff/m0462trg_c01c.avfx_@_vfx/lockon/eff/m0462trg_a0c.avfx_@_vfx/lockon/eff/m0462trg_c03c.avfx,vfx/lockon/eff/m0462trg_c01c.avfx_@_vfx/lockon/eff/m0462trg_a0c.avfx_@_vfx/lockon/eff/m0462trg_c03c.avfx,TRUE,踏んで頭割り,FALSE,http://127.0.0.1:50021,3,FALSE,,2012,1117,0,300,FALSE,300,300,FALSE,100,46,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,0.9315069,1,0,1,TRUE,2,0,0,0,1,FALSE,0.15,4
ffxivlog,4,F00020,偽ファイガ＜頭割り> / 偽ブリザガ,Enabled,BOX003,絶妖星乱舞,Lab003,なぞなぞマジック ファイガ / ブリザガ,TRUE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,なぞなぞマジック,vfx/lockon/eff/m0462trg_c01c.avfx_@_vfx/lockon/eff/m0462trg_b0c.avfx_@_vfx/lockon/eff/m0462trg_c03c.avfx,vfx/lockon/eff/m0462trg_c01c.avfx_@_vfx/lockon/eff/m0462trg_b0c.avfx_@_vfx/lockon/eff/m0462trg_c03c.avfx,TRUE,踏んで散開,FALSE,http://127.0.0.1:50021,3,FALSE,,2012,1117,0,300,FALSE,300,300,FALSE,100,46,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,0.9315069,1,0,1,TRUE,2,0,0,0,1,FALSE,0.15,4
ffxivlog,5,F00021,真ファイガ＜散開> / 真ブリザガ,Enabled,BOX003,絶妖星乱舞,Lab003,なぞなぞマジック ファイガ / ブリザガ,TRUE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,なぞなぞマジック,vfx/lockon/eff/m0462trg_c02c.avfx_@_vfx/lockon/eff/m0462trg_a0c.avfx_@_vfx/lockon/eff/m0462trg_c04c.avfx,vfx/lockon/eff/m0462trg_c02c.avfx_@_vfx/lockon/eff/m0462trg_a0c.avfx_@_vfx/lockon/eff/m0462trg_c04c.avfx,TRUE,踏まない散開,FALSE,http://127.0.0.1:50021,3,FALSE,,2012,1117,0,300,FALSE,300,300,FALSE,100,46,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,0.9315069,1,0,1,TRUE,2,0,0,0,1,FALSE,0.15,4
ffxivlog,6,F00022,真ファイガ＜頭割り> / 真ブリザガ,Enabled,BOX003,絶妖星乱舞,Lab003,なぞなぞマジック ファイガ / ブリザガ,TRUE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,なぞなぞマジック,vfx/lockon/eff/m0462trg_c02c.avfx_@_vfx/lockon/eff/m0462trg_b0c.avfx_@_vfx/lockon/eff/m0462trg_c04c.avfx,vfx/lockon/eff/m0462trg_c02c.avfx_@_vfx/lockon/eff/m0462trg_b0c.avfx_@_vfx/lockon/eff/m0462trg_c04c.avfx,TRUE,踏まない頭割り,FALSE,http://127.0.0.1:50021,3,FALSE,,2012,1117,0,300,FALSE,300,300,FALSE,100,46,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,0.9315069,1,0,1,TRUE,2,0,0,0,1,FALSE,0.15,4
ffxivlog,7,F00023,偽ファイガ＜散開> / 真ブリザガ,Enabled,BOX003,絶妖星乱舞,Lab003,なぞなぞマジック ファイガ / ブリザガ,TRUE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,なぞなぞマジック,vfx/lockon/eff/m0462trg_c01c.avfx_@_vfx/lockon/eff/m0462trg_a0c.avfx_@_vfx/lockon/eff/m0462trg_c04c.avfx,vfx/lockon/eff/m0462trg_c01c.avfx_@_vfx/lockon/eff/m0462trg_a0c.avfx_@_vfx/lockon/eff/m0462trg_c04c.avfx,TRUE,踏まない頭割り,FALSE,http://127.0.0.1:50021,3,FALSE,,2012,1117,0,300,FALSE,300,300,FALSE,100,46,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,0.9315069,1,0,1,TRUE,2,0,0,0,1,FALSE,0.15,4
ffxivlog,8,F00024,偽ファイガ＜頭割り> / 真ブリザガ,Enabled,BOX003,絶妖星乱舞,Lab003,なぞなぞマジック ファイガ / ブリザガ,TRUE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,なぞなぞマジック,vfx/lockon/eff/m0462trg_c01c.avfx_@_vfx/lockon/eff/m0462trg_b0c.avfx_@_vfx/lockon/eff/m0462trg_c04c.avfx,vfx/lockon/eff/m0462trg_c01c.avfx_@_vfx/lockon/eff/m0462trg_b0c.avfx_@_vfx/lockon/eff/m0462trg_c04c.avfx,TRUE,踏まない散開,FALSE,http://127.0.0.1:50021,3,FALSE,,2012,1117,0,300,FALSE,300,300,FALSE,100,46,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,0.9315069,1,0,1,TRUE,2,0,0,0,1,FALSE,0.15,4
ffxivlog,0,F00013,真_水属性圧縮,Enabled,BOX003,絶妖星乱舞,Lab004,P4 グランドクロス / ほのお つなみ,TRUE,,FALSE,TRUE,FALSE,,TRUE,FALSE,RPR,水属性圧縮,グランドクロス,[HappyTrigger]MemberStatus Information. job=RPR StatusId=5545 StatusName=水属性圧縮 Param=0 Remaining=_@_[HappyTrigger]EnemyCasting Infonmation. Enemy=ネオエクスデス ActionId=47892 ActionName=グランドクロス CastTotal=8.70s StatusId=2056 Param=1122,[HappyTrigger]MemberStatus Information. job=RPR StatusId=5545 StatusName=水属性圧縮 Param=0 Remaining=_@_[HappyTrigger]EnemyCasting Infonmation. Enemy=ネオエクスデス ActionId=47892 ActionName=グランドクロス CastTotal=8.70s StatusId=2056 Param=1122,TRUE,頭割り（真水属性圧縮）,FALSE,http://127.0.0.1:50021,3,FALSE,,1352,1233,0,300,FALSE,300,300,FALSE,100,32,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,1,1,1,1,TRUE,2,0,0,0,1,FALSE,0.15,3
ffxivlog,21,F00037,偽_水属性圧縮,Enabled,BOX003,絶妖星乱舞,Lab004,P4 グランドクロス / ほのお つなみ,TRUE,,FALSE,TRUE,FALSE,,TRUE,FALSE,RPR,水属性圧縮,グランドクロス,[HappyTrigger]MemberStatus Information. job=RPR StatusId=5545 StatusName=水属性圧縮 Param=0 Remaining=_@_[HappyTrigger]EnemyCasting Infonmation. Enemy=ネオエクスデス ActionId=47892 ActionName=グランドクロス CastTotal=8.70s StatusId=2056 Param=1121,[HappyTrigger]MemberStatus Information. job=RPR StatusId=5545 StatusName=水属性圧縮 Param=0 Remaining=_@_[HappyTrigger]EnemyCasting Infonmation. Enemy=ネオエクスデス ActionId=47892 ActionName=グランドクロス CastTotal=8.70s StatusId=2056 Param=1121,TRUE,散開（偽水属性圧縮）,FALSE,http://127.0.0.1:50021,3,FALSE,,1352,1233,0,300,FALSE,300,300,FALSE,100,32,Normal,TRUE,TRUE,Meiryo,,3,3,0,0,0,0.7,1,1,1,1,TRUE,2,0,0,0,1,FALSE,0.15,3
